ID,email,passwordHash,createdAt
c1010001-0000-4000-8000-000000000001,procurement@nexustech-hardware.de,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-03-01T08:00:00Z
c1010001-0000-4000-8000-000000000002,b2b@nordiccloud-systems.se,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-03-02T09:30:00Z
c1010001-0000-4000-8000-000000000003,compliance@alpinelogistics.ch,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-02-15T10:15:00Z
c1010001-0000-4000-8000-000000000004,onboarding@berlinconsulting-group.de,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-02-20T11:00:00Z
c1010001-0000-4000-8000-000000000005,vendor-desk@optima-microelectronics.nl,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-02-18T08:45:00Z
c1010001-0000-4000-8000-000000000006,contact@datavanguard-solutions.fr,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-03-03T07:15:00Z
c1010001-0000-4000-8000-000000000007,ops@rhineland-facilities.de,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-03-02T12:00:00Z
c1010001-0000-4000-8000-000000000008,enterprise@helsinki-advisory.fi,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-02-10T14:00:00Z
c1010001-0000-4000-8000-000000000009,sales@bavaria-hardware.de,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-02-22T08:30:00Z
c1010001-0000-4000-8000-000000000010,partner@vienna-cyberdefense.at,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-02-25T10:00:00Z
c1010001-0000-4000-8000-000000000011,info@iberia-it-services.es,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-03-04T09:00:00Z
c1010001-0000-4000-8000-000000000012,contact@rotterdam-advisory.nl,$2b$10$BFoMrQJRpQp7f2NWHVv3C.VPENuKMxkDumiva3wpj1eeX..RJnhjG,2026-03-03T13:30:00Z
